Timestamp start: 1747264163208
Timestamp end: 1747265063455

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      167.2    68.7    54.7    90.9   102.7   164.7   183.5   193.9   200.9   210.5   222.1   241.2   292.7   921.3  1998.1   8106.6     8195
read      295.8   452.1    54.7   105.2   120.5   215.6   265.7   294.3   315.7   342.3   381.1   469.7  3093.1  5225.6  9085.7 158389.4   158594
read      190.1   117.8    54.7    92.2   102.1   167.3   205.4   229.7   248.6   271.2   299.6   342.5   442.0  1505.2  3550.0 149936.0   149766
read      174.0    72.0    59.1    92.0   106.3   172.7   192.0   202.2   210.6   219.4   231.7   250.9   297.3   814.1  2080.2  10403.6    10382
read      320.6   317.8    59.1   125.1   145.0   249.9   302.7   334.1   358.0   388.1   432.1   732.6  1604.0  3314.0  7217.1 170614.6   170548
read      191.0   123.7    54.7    93.0   102.9   168.4   206.3   230.8   249.6   272.0   300.5   343.3   439.2  1676.3  3605.1 150510.2   150565
read      189.4   101.7    50.7    91.1   100.9   167.8   207.9   233.4   253.1   276.2   306.2   348.4   432.5   967.9  2952.2 137140.0   137144
read      187.9    94.5    50.7    92.2   102.0   167.3   206.0   231.0   250.2   272.9   301.7   343.3   427.3   862.0  2535.2 143520.6   143496
read      185.5    94.3    54.7    91.0   100.8   164.9   202.6   227.9   247.1   270.0   298.2   340.2   422.5   877.3  2229.3 144980.2   144743
read      189.3   109.9    54.7    87.5    96.6   165.4   210.4   238.8   260.3   284.6   313.8   354.9   434.0  1006.5  3043.5 116970.4   116745
read      189.4   112.0    54.7    89.1    98.7   166.0   207.8   234.3   255.0   279.0   308.6   351.1   435.7  1245.6  3165.3 129589.0   129314
read      194.2   130.8    54.7    93.9   104.2   172.5   211.9   235.9   255.2   277.3   306.1   347.1   433.9  1620.4  4454.1 144514.0   144723
read      192.8   106.9    54.7    89.2    98.7   169.0   214.5   243.3   265.0   289.4   318.7   361.7   445.6   864.7  3321.1 117290.4   117379
read      192.5   131.6    54.7    89.6    99.3   169.0   213.8   242.1   263.3   287.4   316.5   358.6   435.5   849.4  2946.6 119748.8   119931
read      190.4    99.5    54.7    91.2   101.1   168.8   209.7   235.5   255.9   279.6   309.2   351.1   432.6   880.5  2912.9 132292.8   132052
read      191.6    97.5    54.7    93.9   104.0   171.5   210.5   234.6   253.6   275.9   304.5   345.2   429.5   998.0  2796.2 143315.0   143350
read      194.1   122.4    50.7    94.7   104.9   172.3   211.6   235.8   255.0   277.7   306.6   348.4   435.4  1263.3  4597.1 143457.4   143518
read      209.7   113.0    54.7   106.3   119.5   193.0   229.9   251.9   268.5   288.5   314.0   354.3   447.0  1264.4  3872.1 172990.2   172981
read      196.4    96.3    50.7    88.0    97.2   173.6   226.4   256.9   277.2   300.2   327.9   366.2   436.4   737.6  1569.5  93957.8    94027
read      211.0   125.8    50.7   105.7   118.8   193.2   230.7   253.3   270.4   291.0   317.3   360.0   455.0  1489.6  3891.8 170111.4   170019
read      222.8    98.8    59.1   113.1   128.4   207.6   246.1   269.0   286.2   306.8   333.9   375.8   470.8   922.8  2679.6 179165.8   179090
read      213.0    98.0    50.7    89.4   100.3   207.2   251.5   273.5   289.5   307.8   331.1   367.4   446.0   817.2  2002.2  47054.6    47130
read      209.8   149.6    50.7    91.4   105.7   206.6   237.9   254.6   266.7   280.1   296.6   324.3   388.8   941.6  6791.5  19443.0    19439
read      318.5   384.6    54.7    99.4   113.6   212.8   272.3   309.5   337.6   373.2   439.1  1351.4  1735.3  3402.8  7512.3 128604.0   128963
read      208.3    84.2    50.7    95.3   109.2   207.1   237.6   254.3   266.8   280.8   298.0   326.7   393.6   679.3  2485.3  23694.8    23787
read      239.9   146.0    50.7    87.3    97.8   219.8   283.8   320.0   344.8   372.3   403.5   450.7   567.4  1433.4  3536.5  61768.6    61848
read      211.5   182.6    54.7    89.1    98.7   175.4   228.7   261.5   284.8   311.9   346.2   404.3   635.7  1711.9  7396.2 102046.2   101968
read      194.6    96.7    54.7    89.3    98.7   170.5   218.5   248.4   270.5   295.1   324.9   367.7   451.9   719.5  1945.0 108598.6   108767
read      195.1   134.6    50.7    87.5    96.7   171.1   222.6   253.1   273.9   296.9   324.0   364.0   437.4   679.1  2807.2  97391.8    97139
read      198.8   111.5    54.7    99.1   110.8   179.9   217.1   239.6   257.1   277.8   304.8   344.7   434.5  1415.0  3131.9 158716.0   158594
read      191.4    92.6    54.7    93.9   103.9   171.3   210.7   235.3   255.0   277.8   307.1   348.4   430.4   808.8  2468.0 141204.6   141240
read      216.2    96.3    50.7    89.6   101.0   211.5   253.8   275.6   291.9   310.6   334.2   369.9   442.8   709.2  1672.2  41435.2    41405
read      236.2   131.4    54.7    87.0    97.3   218.8   280.4   315.4   339.6   365.9   396.1   437.5   538.7  1208.2  2287.1  58059.0    57997
read      248.5   271.9    54.7    94.5   105.9   186.7   235.4   267.1   290.2   317.3   354.5   435.6  1544.0  2614.5  5395.7 133601.0   133577
read      219.3   136.0    50.7    88.2    98.7   208.3   258.2   283.9   301.8   321.9   349.1   391.6   474.7  1080.5  5542.5  53858.8    53832
read      259.1   288.7    54.7    97.1   109.7   194.3   244.5   276.7   301.2   331.7   373.3   477.4  1570.2  3012.8  7097.8 140121.2   139832
read      208.3   103.2    54.7   105.5   118.6   192.0   229.1   251.3   268.0   287.9   313.5   353.7   444.1  1206.5  3009.8 170593.4   170515
read      192.5   104.6    54.7    91.8   101.5   169.7   212.2   238.6   259.6   283.7   313.5   356.4   437.5   948.5  2896.7 128606.2   128494
read      199.0    81.5    54.7    94.1   108.1   198.1   225.7   240.6   251.6   264.8   280.8   306.7   362.8   659.1  2632.6  20747.0    20789
read      240.5   186.5    50.7    87.4    97.7   218.5   284.0   321.4   346.9   375.4   407.1   453.0   552.9  1391.7 10430.1  63682.0    63647
read      242.9   175.4    50.7    87.9    98.3   217.9   283.4   320.0   345.6   374.1   406.8   454.4   576.1  2319.6  4242.2  64671.4    64802
read      237.4   154.6    54.7    86.9    97.2   219.4   279.6   313.8   337.1   362.4   391.8   432.7   541.7  1746.2  5229.2  55801.8    55719
read      300.6   258.4    59.1   124.6   144.0   246.9   299.5   332.4   358.0   390.2   435.1   531.6  1536.8  2683.9  5021.8 173953.6   174179
read      201.0   130.8    54.7    89.4    98.8   173.2   222.6   252.7   274.1   298.7   329.7   374.7   523.5  1419.5  4041.1 106042.4   106356
read      222.4   117.0    54.7   110.8   125.0   204.4   244.0   268.0   285.7   307.0   335.0   379.3   484.6  1471.5  3093.0 178732.4   178750
read      194.0   100.3    50.7    88.3    97.4   169.3   218.5   249.1   271.0   295.9   325.5   367.6   449.6   794.2  2353.8 105973.6   105831
read      197.4   178.1    50.7    89.0    98.4   169.9   218.0   247.8   269.5   294.2   323.9   367.3   456.4  1249.6 10395.6 110698.4   110667
read      166.0   131.6    59.1    90.0   101.0   159.7   180.3   191.5   199.8   210.4   224.2   247.3   308.1   799.6  7424.2   8802.8     8803
read      230.8   129.5    50.7    86.9    97.4   220.1   274.8   304.0   323.4   344.6   370.2   405.8   491.1  1104.9  3601.6  45648.6    45662
read      231.1   244.8    50.7    91.5   105.2   221.5   266.2   289.0   304.4   321.0   342.3   373.2   444.7  1629.4 11903.8  30872.0    30867
read      232.5   122.8    46.9    88.4    99.6   220.9   276.3   306.3   326.4   347.8   373.3   408.8   486.8  1067.1  2977.9  45741.4    45656
read      217.9   163.5    54.7    89.5    99.3   178.7   233.0   267.6   292.8   322.7   365.6   448.6   722.2  2165.8  3471.9 101167.4   100938
read      191.8   100.2    50.7    92.0   101.8   170.1   211.4   237.0   257.5   281.1   311.1   353.9   435.5   963.2  2262.2 132376.6   132360
read      221.2   170.7    54.7    88.5    98.5   198.9   255.2   284.9   305.9   329.9   361.3   409.8   527.7  1681.4  5088.2  67505.4    67591
read      223.1   102.3    50.7    88.2   100.0   217.6   263.6   287.2   303.3   320.6   343.4   376.6   451.2   956.7  1816.1  33994.4    33910
read      209.5   130.3    54.7    87.6    97.1   180.5   237.5   270.0   292.7   318.5   352.6   407.3   547.6  1261.1  3188.4  85679.6    85729
read      186.6    74.1    59.1    93.4   108.9   185.5   209.5   222.1   230.9   241.9   256.3   278.8   332.0   659.7  1964.1  12893.6    12884
read      230.1   121.5    50.7    87.7    98.7   219.7   273.7   303.0   321.9   343.0   368.4   403.3   483.8  1015.1  2383.0  45386.4    45621
read      224.9   100.7    50.7    88.7   100.4   218.6   267.4   292.5   309.7   328.8   351.7   385.5   456.1   730.1  1574.1  36860.0    36938
read      239.6   158.8    50.7    87.4    97.9   221.0   283.3   317.6   341.4   367.3   397.8   441.2   550.2  1448.5  4569.7  57059.6    56902
read      218.6   164.8    54.7    89.5    99.4   178.2   232.0   266.4   292.1   323.4   367.8   457.0   735.6  2071.3  3859.7 102375.2   102243
read      184.5    77.0    54.7    94.0   108.0   183.1   206.5   218.4   227.5   237.1   251.6   273.3   321.1   765.0  2947.7  14063.2    14085
read      218.4   202.0    54.7    89.1    98.8   180.6   236.8   271.4   296.1   325.8   365.3   433.5   643.9  1943.6  8131.4  94230.4    94103
read      217.8   114.7    50.7    88.9    99.2   204.9   256.1   282.0   300.0   321.0   349.6   394.8   491.4  1131.9  2609.6  58158.4    58175
read      235.1   229.6    54.7    99.5   111.9   193.3   238.0   266.9   288.7   315.7   353.2   421.1  1434.0  2447.4  7383.9 151464.2   151312
read      199.0   108.9    50.7    87.8    97.1   177.5   232.0   261.3   281.1   302.8   328.2   364.4   434.4   703.0  2526.9  83218.8    83333
read      205.9   116.9    59.1   102.7   114.9   187.5   225.6   248.5   265.8   286.4   312.7   353.5   452.2  1415.2  4315.5 165013.8   165153
read      194.1   146.6    54.7    91.1   100.8   170.4   213.7   240.9   261.9   286.0   315.8   359.1   441.2   984.2  5309.5 124324.8   123975
read      207.3    84.6    54.7    93.4   106.4   206.7   239.8   257.4   269.5   283.8   301.7   330.3   393.2   674.5  1331.2  28432.4    28449
read      201.1   259.9    59.1    92.1   107.8   193.7   221.0   234.5   245.3   257.4   272.6   295.9   354.6  1862.2 11355.3  14905.4    14903
read      219.7    93.4    54.7    89.4   101.3   216.2   260.1   282.3   297.1   314.6   335.8   366.4   430.5   673.0  1697.0  31133.4    31189
read      229.6   136.4    50.7    88.1    98.9   220.2   271.9   299.0   317.0   337.1   361.4   396.2   468.2  1137.9  5370.6  40696.2    40636
read      226.9   213.9    54.7    89.3    99.1   189.9   250.1   283.6   307.2   335.0   371.3   433.1   626.3  3476.4  5520.8  80619.8    80574
read      222.1   122.5    59.1   107.7   121.4   202.1   243.4   268.4   287.1   309.9   340.3   393.1   533.9  1072.7  3226.8 168724.0   168820
read      206.8   101.8    54.7   103.1   115.6   189.9   228.3   251.3   268.6   289.1   315.2   356.5   444.3  1137.1  2777.4 162516.2   162621
read      196.0   108.3    54.7    88.5    97.7   171.7   222.2   252.4   273.5   297.7   326.6   366.9   443.8   837.0  3817.7 101754.6   101621
read      215.3   114.0    54.7    88.6    98.6   201.9   253.8   279.6   297.2   318.3   345.9   390.8   490.1  1283.8  2371.6  58754.6    58592
read      245.0   228.0    54.7   101.9   115.0   200.1   246.7   274.6   296.1   323.0   362.2   436.2  1464.1  2620.5  4624.4 153080.0   153042
read      195.2    99.4    54.7    90.0    99.5   171.4   218.7   248.3   269.9   294.6   323.8   366.0   448.1   879.7  2006.2 112126.8   112238
read      203.0   113.4    50.7   100.0   111.9   184.5   223.5   246.8   264.3   285.0   311.8   353.1   455.3  1115.7  3176.4 160346.0   160265
read      214.4   101.9    50.7    89.3    99.8   204.0   254.9   280.2   297.5   317.3   342.4   381.1   464.7   705.0  1840.9  57099.0    57109
read      203.9   112.7    54.7    88.0    97.4   177.5   233.2   265.2   287.1   311.1   340.5   386.8   510.0   967.9  2532.6  88590.8    88551
read      166.6    64.1    54.7    92.0   103.9   162.6   183.3   194.8   202.5   212.9   225.6   246.2   298.2   638.3  2247.6   8368.0     8385
read      226.5   182.3    54.7    89.3   101.4   218.2   264.1   287.7   303.7   320.7   342.8   374.2   449.3  1252.0  8731.3  33994.0    34088
read      245.2   281.4    54.7    90.6   101.0   183.3   234.3   267.4   291.8   320.4   359.7   434.1  1573.6  3138.3  7153.8 113732.6   113600
read      192.7   111.3    50.7    91.2   101.1   170.0   212.1   238.2   258.5   282.2   311.9   354.7   436.7  1338.4  2977.5 131920.6   131842
read      193.1   106.2    54.7    88.0    97.4   168.9   216.5   245.8   267.3   291.8   320.9   363.3   442.3   923.9  2792.6 112041.8   112066
read      209.6   105.2    50.7    87.9    97.6   189.4   246.9   275.8   295.5   317.9   346.1   392.4   494.3   835.0  1458.6  72429.2    72585
read      195.7   125.3    54.7    92.2   102.3   172.5   214.7   240.7   260.9   284.6   314.3   358.0   446.7  1512.3  3477.0 133411.6   133669
read      177.1    72.7    54.7    92.2   106.1   174.5   197.4   209.8   218.2   229.1   242.7   265.5   313.8   630.0  3781.0  11854.2    11820
read      199.7   210.1    54.7    92.8   108.3   188.9   215.4   228.8   237.9   250.0   265.4   289.6   369.9  4008.6  7359.0  12635.2    12639
read      257.0   301.0    54.7    91.4   102.2   190.2   241.5   272.3   296.2   327.7   374.7   482.7  1635.3  3161.8  7352.4 118442.8   118548
read      204.1    96.6    50.7   100.6   112.8   187.2   227.7   251.7   269.5   290.7   317.3   359.1   439.5   634.5  1827.4 165729.4   165754
read      204.5   107.7    50.7    86.1    95.7   176.9   232.5   263.4   285.1   311.2   345.5   407.3   557.9   729.1   876.2  86583.4    86823
read      200.9   308.9    50.7    94.3   107.7   188.1   215.7   230.3   240.7   253.2   269.9   295.1   357.8  5545.1 11516.4  16992.2    16898
read      254.9   299.1    54.7    91.2   102.1   186.0   237.3   269.0   291.9   319.7   361.7   471.4  1601.3  2745.8  7372.6 122864.4   123124
read      203.3    98.3    50.7    86.0    96.0   190.5   242.6   268.1   285.6   305.4   329.6   365.7   433.6   547.6  1609.9  72348.2    72278
read      210.5   179.6    50.7    85.6    96.7   202.8   248.0   270.8   286.8   304.7   325.9   357.4   418.4   628.9 11111.8  47821.2    47757
read      214.0    97.3    50.7    86.1    96.8   204.8   255.6   282.5   300.9   321.2   345.9   382.4   447.4   551.6   930.4  60476.4    60510
read      224.6   232.7    54.7    90.6   104.4   217.3   256.2   276.8   291.9   309.3   331.0   363.9   429.1  1227.0 11370.5  25276.0    25237
read      218.2   147.9    54.7    89.2    99.2   181.2   235.6   269.4   293.7   323.2   363.5   446.9   745.9  1509.9  3013.8  97777.0    97783
read      194.7    96.7    54.7    89.7    99.5   172.6   217.8   245.5   266.6   291.1   321.0   365.7   447.5   812.5  2064.1 118949.4   118966
read      199.4   235.7    54.7    94.1   108.7   192.3   219.0   233.1   244.1   256.4   272.8   298.2   356.9   798.5 10880.0  16711.2    16631
read      186.8    65.2    54.7    91.0   105.1   184.7   211.5   225.1   234.2   246.4   261.8   285.8   337.6   639.6  1337.9  11762.4    11743
read      280.4   332.5    54.7    92.6   104.1   199.7   252.7   287.1   314.7   351.7   407.6   748.4  1697.5  3128.1  7388.3 114914.4   115026
read      193.9    95.7    50.7    90.4   100.4   172.1   216.5   243.9   264.8   289.2   319.3   363.5   441.8   682.9  1893.5 122488.2   122371
read      162.9    71.1    46.9    89.6   100.5   158.6   177.6   188.5   197.2   207.1   219.4   239.5   295.6   750.3  2833.4   7186.4     7198
read      213.3    88.3    50.7    88.8   101.3   211.2   248.8   268.9   282.9   298.1   318.3   348.0   410.6   701.0  1919.2  24917.8    25022
read      326.2   305.4    54.7   121.7   143.1   257.2   317.8   360.4   393.4   432.4   484.5   594.6  1642.3  3236.9  7406.8 157371.4   157513
read      233.4   107.4    54.7   113.2   129.2   216.2   259.4   285.2   304.6   328.1   359.2   405.9   502.8   866.3  2748.8 172021.6   171975
read      209.3   137.5    59.1   101.5   114.1   190.7   230.9   254.8   272.7   294.3   322.1   366.2   461.4  1083.5  5319.8 154610.6   154918
read      195.8    94.3    54.7    93.9   104.4   176.5   217.7   242.7   261.8   284.2   312.8   355.0   435.5   832.3  2262.9 138821.6   139185
read      202.3   103.2    54.7    98.2   110.4   183.9   223.6   247.5   265.7   287.4   314.8   357.3   450.6   984.7  2941.6 152449.0   152724
read      201.4    72.7    50.7    94.8   109.3   200.3   230.0   245.6   256.4   269.8   287.3   314.5   371.8   626.3  1535.5  20794.0    20845
read      304.2   325.8    59.1   103.1   118.9   225.6   281.1   319.0   351.1   393.4   454.5   672.7  1690.7  3067.7  7339.0 140404.0   140348
read      200.4   101.6    54.7    88.2    97.7   177.7   231.8   262.6   283.6   307.3   335.3   373.4   451.4   631.9  2012.2  88567.6    88725
read      200.8   109.9    54.7    94.1   104.7   179.2   221.8   247.7   267.2   290.2   319.1   364.2   463.2  1353.9  2930.4 133865.8   134088
read      216.8   112.9    54.7    87.0    97.0   196.6   255.1   285.1   306.1   330.5   363.0   415.9   522.9   739.0  2469.2  66199.0    66126
read      211.1   124.3    46.9    87.0    96.7   186.5   244.3   274.4   295.7   319.9   351.2   400.7   529.1  1050.3  3220.6  78422.0    78214
read      205.8    92.9    50.7    86.9    97.4   198.9   245.9   268.7   284.4   302.0   323.6   356.6   420.1   519.1  1111.9  55130.8    55191
read      234.4   141.1    50.7    88.0    98.8   218.7   276.8   309.6   332.3   357.9   388.2   429.3   510.7  1385.5  4675.9  54082.0    54081
read      219.5   244.2    50.7    88.4    98.2   175.1   225.4   255.8   277.2   302.3   333.8   386.0  1411.9  2488.3 10504.3 112484.2   112478
