Timestamp start: 1747266222397
Timestamp end: 1747267122646

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      161.4    99.2    54.7    88.2    99.4   156.4   174.0   184.4   192.0   200.8   213.9   234.1   304.1  1278.4  2757.7   8086.0     8195
read      279.1   338.8    54.7    96.9   110.1   198.8   243.7   269.0   288.5   313.9   359.3  1188.2  1601.7  3270.2  7267.2 158129.0   158594
read      186.6   177.7    50.7    87.6    96.9   159.1   196.5   221.0   239.1   261.7   290.3   332.5   435.4  3240.8  4303.0 149636.6   149766
read      166.6   127.9    59.1    88.2   100.5   161.0   180.4   191.1   199.2   209.3   222.3   244.5   308.4  1480.8  5307.7  10258.8    10382
read      285.3   315.8    54.7   104.1   119.0   211.6   253.9   278.0   296.4   320.9   366.8  1160.8  1574.5  2748.5  6862.2 170448.2   170548
read      177.5    91.6    50.7    87.9    97.1   157.8   193.9   217.4   235.1   257.7   286.1   326.1   404.3   741.2  2604.8 150577.4   150565
read      179.5   116.4    50.7    85.7    94.9   157.2   195.7   221.0   240.1   263.7   292.9   334.7   419.3  1030.8  3242.8 137377.0   137144
read      178.8   112.3    50.7    86.8    95.9   157.4   194.8   219.4   237.8   260.9   289.5   330.7   412.4   848.0  3286.2 143596.4   143496
read      177.1    88.0    50.7    86.7    95.8   156.5   193.8   218.2   236.4   259.4   287.8   328.5   408.2   803.8  2276.4 144514.8   144743
read      182.1   100.9    50.7    84.6    93.9   159.7   203.1   230.7   250.6   273.6   301.8   341.4   421.2   672.7  2966.6 116746.0   116745
read      178.6    89.5    50.7    84.6    93.9   156.9   197.4   224.1   243.7   267.2   295.6   336.7   414.1   638.0  1987.0 129260.4   129314
read      178.4    96.3    50.7    87.2    96.3   157.6   195.1   219.6   238.0   261.0   289.3   329.7   410.0   757.0  2957.4 144424.2   144723
read      182.8    99.8    46.9    84.8    94.1   160.1   203.4   231.0   250.9   274.0   302.4   341.9   424.3   793.0  2893.3 117522.8   117379
read      181.1   102.5    50.7    84.4    93.6   158.8   201.1   228.5   248.3   271.0   298.8   338.6   417.2   772.5  3027.7 119957.2   119931
read      180.1    93.5    46.9    86.0    95.0   158.0   198.3   224.8   244.5   267.9   296.5   337.9   418.7   721.6  2556.5 131858.0   132052
read      178.6    96.6    50.7    86.9    96.0   157.6   195.0   219.5   237.8   260.9   289.7   331.2   415.5   934.9  2546.9 143391.8   143350
read      180.5   103.4    50.7    87.4    96.6   158.8   196.7   221.3   239.9   262.7   291.2   333.0   422.5  1232.4  2670.1 143810.6   143518
read      180.1   102.4    54.7    91.9   101.8   162.5   195.6   216.4   232.2   252.0   277.6   316.7   399.6   935.9  2962.2 173197.8   172981
read      185.0    85.7    50.7    83.7    92.8   165.0   213.7   241.2   260.4   281.8   307.2   342.3   411.4   526.7  1308.2  94079.2    94027
read      180.6   113.9    50.7    91.2   101.2   162.1   195.7   217.1   233.2   253.5   280.1   319.5   403.7   940.9  3848.7 169918.8   170019
read      185.8   119.8    54.7    95.4   105.8   168.4   201.3   222.0   237.2   257.0   282.8   321.2   412.0   976.1  5018.8 178902.2   179090
read      200.9    94.5    46.9    84.7    95.3   193.6   234.7   256.9   273.2   292.3   315.7   350.9   424.5   663.7  1716.6  47033.2    47130
read      186.9    91.3    50.7    86.7    99.5   183.7   212.4   227.5   237.8   250.9   268.0   293.6   353.5   691.3  2807.6  19365.2    19439
read      208.8   209.8    50.7    87.1    96.7   166.2   209.7   237.2   259.1   285.8   320.9   395.3  1124.3  1965.8  7578.7 128874.6   128963
read      185.3    89.1    54.7    87.6    99.5   181.1   209.0   224.3   234.8   248.6   266.4   293.7   364.8   680.4  3606.1  23950.4    23787
read      224.4   136.1    50.7    83.7    93.7   202.5   262.9   298.0   320.9   346.0   375.4   418.8   543.9  1448.7  2847.2  61752.2    61848
read      195.8   137.2    54.7    84.1    93.5   165.5   216.0   246.7   269.1   295.1   328.8   384.0   534.9  1441.2  4089.6 102011.4   101968
