Timestamp start: 1747265176814
Timestamp end: 1747266077065

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      189.5    94.5    50.7    85.3    94.8   166.9   213.7   243.2   264.7   288.4   316.6   356.7   436.7   730.5  2001.4 106566.2   106356
read      232.0   172.7    50.7   107.7   122.1   207.4   251.7   277.8   297.0   320.1   350.4   399.0   526.4  3078.9  5268.8 178963.2   178750
read      190.6   156.5    50.7    85.7    95.1   167.2   214.5   243.9   265.3   288.9   316.5   356.1   436.0   760.3  2129.1 106007.4   105831
read      188.2    95.8    50.7    85.5    95.0   166.0   211.6   240.1   261.8   285.5   313.4   353.4   433.8   643.8  2544.3 110753.2   110667
read      157.1    88.5    54.7    88.6    99.3   152.2   170.0   180.5   187.7   198.0   211.3   233.0   290.0   726.1  2674.9   8811.0     8803
read      213.9   109.2    46.9    83.7    94.0   200.0   253.2   281.3   299.9   320.3   344.7   381.1   466.3  1056.5  2039.8  45668.4    45662
read      204.7    89.7    50.7    86.9    98.8   197.8   239.4   261.2   275.2   291.8   311.9   341.5   405.7   721.5  1575.2  30876.0    30867
read      213.3   102.9    50.7    83.7    94.1   200.8   253.9   282.1   300.4   320.6   345.0   379.9   455.7   781.1  2092.5  45701.4    45656
read      198.8   125.9    54.7    85.1    94.7   169.1   220.1   252.5   275.3   301.9   335.5   389.3   529.4  1496.6  2965.9 100675.6   100938
read      186.4    94.0    54.7    87.9    97.7   166.3   207.0   232.5   252.5   275.2   304.0   343.9   422.1   709.6  2441.5 132309.4   132360
read      207.1   138.2    50.7    83.7    93.5   185.5   238.8   268.0   288.2   311.8   342.3   390.1   490.8  1686.8  4054.8  67671.0    67591
read      204.9   113.4    50.7    84.7    95.9   195.5   238.7   261.9   276.7   293.9   314.8   345.5   423.8  1053.0  3484.5  34096.8    33910
read      201.5   127.5    46.9    84.8    94.5   174.8   229.1   260.3   281.6   305.8   336.4   384.5   503.2  1425.1  3903.3  85665.0    85729
read      165.7    66.3    50.7    89.2   101.1   161.1   181.8   193.5   201.8   213.3   227.7   251.2   312.6   655.2  1961.8  12982.6    12884
read      211.3    98.4    50.7    83.1    93.1   198.7   252.1   280.4   298.7   318.5   342.6   377.1   451.5   734.1  1316.0  45670.4    45621
read      207.2    95.3    50.7    84.5    95.9   198.4   245.1   269.1   285.0   302.5   322.9   354.6   422.8   687.3  2164.7  36879.8    36938
read      222.1   137.8    50.7    83.3    93.2   202.1   262.4   295.9   317.7   341.7   369.5   408.4   504.4  1244.7  3914.4  56852.2    56902
read      200.7   120.2    50.7    85.9    95.5   170.3   221.7   254.2   277.7   305.6   341.4   400.5   551.8  1096.5  2608.1 102328.2   102243
read      169.4    59.2    54.7    89.4   102.2   166.3   187.3   199.5   208.4   218.1   232.6   257.4   313.2   615.1  1534.6  14120.6    14085
read      202.4   125.2    50.7    85.3    95.0   172.9   226.6   258.9   281.9   308.9   342.1   395.1   527.7  1539.9  3116.4  93970.2    94103
read      203.9   101.0    50.7    84.6    94.6   191.4   240.4   266.8   284.8   305.2   330.7   369.0   446.2   614.4  2644.3  58284.6    58175
read      275.2   308.9    54.7    99.4   113.3   204.1   254.2   283.6   306.1   335.8   386.7   590.4  1582.4  3312.9  7369.0 151347.8   151312
read      194.1   102.5    50.7    85.5    95.0   174.4   225.7   253.5   272.4   293.3   317.9   353.4   427.5   699.2  2315.8  83409.0    83333
read      195.0   107.4    54.7    96.5   108.4   178.3   215.2   236.9   254.0   273.6   298.6   337.2   419.4   956.9  4176.7 164963.8   165153
read      187.9    98.1    50.7    87.2    96.8   166.6   208.6   234.6   255.1   278.7   307.8   347.9   432.7   906.3  2357.2 124011.8   123975
read      191.1    87.3    50.7    88.9   100.8   187.4   217.5   233.6   246.1   260.5   278.0   306.3   367.5   641.6  2728.5  28564.6    28449
read      175.6   101.8    50.7    87.9   100.2   170.0   195.4   209.3   219.0   231.4   247.7   272.2   334.4   635.6  4320.4  14944.4    14903
read      201.8    84.8    50.7    87.5    98.6   194.7   235.6   257.7   271.5   287.5   307.2   337.1   402.0   676.2  1979.4  31140.6    31189
read      213.5   104.4    50.7    86.4    97.1   202.1   252.2   278.5   295.9   314.9   338.0   370.2   441.0   930.0  2160.7  40789.0    40636
read      203.9   118.5    50.7    85.0    94.8   178.8   233.9   265.2   286.5   310.7   340.7   389.4   503.5  1240.7  2804.1  80470.8    80574
read      198.2   115.7    54.7    98.2   110.4   181.0   217.8   239.7   256.7   276.6   302.4   341.4   427.9  1256.7  4588.0 168820.4   168820
read      193.9   100.4    46.9    96.2   107.6   176.9   213.8   235.8   253.3   273.3   298.8   337.4   417.7  1031.2  2972.7 162517.6   162621
read      190.6    97.2    46.9    85.5    95.0   168.7   216.4   244.8   265.9   289.4   316.8   356.6   435.0   735.5  2516.6 101455.4   101621
read      202.8    99.8    50.7    85.0    95.0   190.1   238.5   264.2   281.8   301.9   327.7   366.5   445.4   773.5  2030.8  58711.8    58592
read      292.9   321.0    50.7   102.2   117.5   215.3   267.4   297.7   320.9   353.0   404.8  1041.8  1602.7  2791.0  7230.9 152692.6   153042
read      190.4   117.1    50.7    86.6    96.0   167.5   212.8   240.2   261.4   285.2   313.4   353.3   433.8   894.5  3674.9 112341.0   112238
read      194.3   109.1    50.7    95.6   106.8   176.3   213.9   236.0   253.8   274.3   300.5   339.9   426.0  1194.4  2985.7 160509.8   160265
read      203.1    94.2    50.7    85.3    95.3   191.6   239.4   264.5   281.4   300.9   325.6   364.3   444.4   685.6  1634.0  57092.2    57109
read      205.2   132.6    50.7    85.1    94.8   175.7   231.4   264.0   286.9   313.1   346.4   401.9   532.9  1422.2  3211.3  88273.8    88551
read      152.6    59.4    54.7    85.9    96.7   148.4   166.2   176.2   183.9   193.5   206.1   227.7   290.0   662.7  1857.5   8439.4     8385
