#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      219.0    74.2   118.1   160.5   167.9   211.3   231.5   243.1   251.4   261.6   273.5   294.3   349.8   703.3  3178.4  30022.0    30000  1745427306835  1745427316988
read      227.6   152.8   109.4   154.6   162.7   205.8   228.7   242.1   252.3   265.5   283.0   317.3   681.6  2377.8  5539.7  29996.4    30005  1745427318498  1745427328619
read      247.4   238.9   118.1   157.1   165.1   209.9   233.0   247.5   258.0   271.4   291.4   336.9  1467.1  3038.8  6277.3  29976.9    30010  1745427330130  1745427340235
read      259.9   294.4   127.6   158.9   166.1   210.7   234.0   249.0   260.5   274.2   296.6   368.5  1585.1  3634.7  6758.4  30098.5    30015  1745427341746  1745427351847
read      242.1   261.4   118.1   154.5   162.8   203.9   226.1   238.4   248.7   261.1   277.6   317.0  1440.5  3343.2  6401.5  29967.6    30020  1745427353358  1745427363456
read      240.0   250.2   118.1   156.1   163.6   203.3   224.3   235.8   246.0   257.2   273.4   310.7  1481.4  3275.4  6315.6  30023.4    30025  1745427364967  1745427375072
read      244.8   261.6   118.1   155.6   163.5   205.5   228.0   240.9   250.8   263.5   280.6   318.9  1480.6  3315.9  6400.5  29976.7    30030  1745427376584  1745427386684
read      240.6   238.1   118.1   157.3   164.7   205.2   226.7   239.1   249.3   261.6   278.2   316.7  1285.1  3267.5  6265.9  30109.1    30035  1745427388194  1745427398294
read      241.6   250.1   118.1   155.5   163.4   203.5   225.3   237.3   247.5   259.3   275.1   315.3  1431.1  3361.6  6306.2  30041.0    30040  1745427399804  1745427409903
read      240.3   253.1   118.1   156.8   164.0   203.2   224.2   235.6   245.8   256.9   273.1   311.0  1412.0  3262.3  6376.2  30017.2    30045  1745427411415  1745427421517
read      237.4   246.6   118.1   153.7   161.6   201.4   222.7   234.4   244.3   254.9   272.0   309.1  1382.2  3252.0  6322.8  29948.5    30050  1745427423029  1745427433127
read      242.5   253.3   118.1   154.5   162.4   203.5   226.2   238.9   249.3   262.1   279.7   320.2  1454.8  3266.3  6316.9  30079.8    30055  1745427434638  1745427444737
read      240.4   252.2   127.6   156.2   163.9   203.5   224.6   236.0   246.3   257.6   273.8   310.8  1416.6  3309.6  6396.0  29984.0    30060  1745427446248  1745427456347
read      245.2   267.8   118.1   154.7   163.0   204.5   226.8   239.6   249.9   262.5   279.4   319.4  1490.8  3348.9  6371.1  30124.6    30065  1745427457858  1745427467960
read      243.2   261.6   118.1   156.2   163.7   203.6   225.2   237.0   247.3   258.9   274.7   313.9  1498.4  3343.6  6393.4  30174.6    30070  1745427469471  1745427479570
read      242.9   256.1   118.1   154.8   163.0   203.6   226.1   238.9   249.4   262.1   279.1   319.6  1428.1  3310.1  6358.3  30261.0    30075  1745427481082  1745427491184
read      217.1    80.1   118.1   160.3   167.2   209.1   229.1   240.2   248.8   258.6   271.4   292.0   345.5   685.5  3948.9  30070.0    30080  1745427492697  1745427502801
