Timestamp start: 1747263221902
Timestamp end: 1747264122139

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      168.2    95.1    59.1    87.4    99.6   164.1   184.0   195.1   202.5   212.7   225.5   246.7   307.6   906.6  4453.2   8206.3     8195
read      228.3   274.3    54.7    95.0   106.0   177.9   221.9   247.9   266.7   288.6   317.2   371.9  1491.3  3406.6  7415.4 158553.7   158594
read      181.1    93.8    50.7    90.2    99.6   160.2   196.6   220.7   239.2   262.4   291.0   332.7   412.4   866.1  2814.8 149560.6   149766
read      172.2    65.3    54.7    88.7   102.3   170.3   191.6   203.0   211.8   221.4   233.7   253.6   300.4   686.8  2047.9  10455.6    10382
read      234.7   240.8    54.7    99.4   111.6   187.4   231.2   256.5   274.4   296.1   325.9   388.9  1451.9  2534.4  5673.3 170072.4   170548
read      181.1    91.9    54.7    90.5   100.1   160.8   197.0   220.8   239.1   262.1   290.4   331.3   410.9   824.2  2339.7 150606.3   150565
read      183.9   116.4    50.7    88.6    97.8   160.4   199.4   225.5   245.3   269.3   298.6   341.1   426.7  1091.0  4070.3 137043.8   137144
read      184.0   126.1    50.7    89.8    99.2   161.1   198.9   224.2   243.4   266.9   295.7   338.3   423.7  1269.0  3013.0 143662.2   143496
read      181.1    97.0    50.7    89.5    98.7   159.8   197.2   222.1   240.8   264.2   293.1   335.2   415.0   790.2  2865.4 145025.3   144743
read      184.7    94.3    46.9    86.6    95.5   161.3   205.3   233.7   255.0   279.3   308.7   348.9   428.8   731.9  2187.2 116770.0   116745
read      184.1   102.6    50.7    88.0    97.1   160.7   201.3   228.4   249.0   273.2   303.5   345.1   425.1   945.7  3077.6 129393.7   129314
read      182.0   100.6    54.7    89.7    99.1   160.6   197.9   222.4   241.1   264.4   293.1   334.7   414.2  1028.3  3197.4 144632.0   144723
read      185.3   104.5    54.7    87.0    95.8   162.0   205.6   233.4   254.7   279.1   308.8   349.2   426.9   700.3  2812.7 117494.9   117379
read      184.3   104.0    50.7    86.8    95.7   160.6   203.6   231.5   252.5   276.7   306.6   346.9   426.5   786.7  2781.8 120077.0   119931
read      184.7   123.3    54.7    88.3    97.4   160.7   200.8   227.5   247.7   271.8   301.4   343.4   428.2  1246.3  3079.8 132269.6   132052
read      181.4    93.7    46.9    89.3    98.6   160.0   197.8   222.9   242.0   265.5   294.3   336.5   416.6   797.0  2389.9 143139.4   143350
read      182.5   102.6    50.7    89.7    99.0   160.8   198.7   223.5   242.4   265.8   294.6   336.6   418.9   916.4  2748.2 143561.8   143518
read      185.3    91.8    50.7    96.4   107.0   168.2   201.4   222.8   238.6   258.8   284.8   323.0   403.2   814.7  3042.2 173051.8   172981
read      190.7   109.5    50.7    85.5    94.6   168.0   218.4   247.9   268.5   291.2   317.5   354.1   426.2   753.2  2886.7  94090.1    94027
