Timestamp start: 1747261275326
Timestamp end: 1747262175562

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      171.7    99.1    54.7    89.2   101.7   168.0   187.1   198.2   206.2   215.8   229.0   250.8   314.3   994.9  3091.8   8172.3     8195
read      243.7   356.4    59.1   100.7   113.4   193.0   237.6   264.9   284.2   306.8   335.1   379.3  1853.4  4366.2  7885.3 158574.7   158594
read      199.9   109.9    54.7    98.3   109.9   180.7   220.1   244.2   262.7   284.4   312.0   352.7   435.9  1073.7  3573.9 149786.1   149766
read      187.9   199.6    50.7    95.3   111.2   181.8   203.8   216.2   225.3   235.1   249.7   271.6   325.9  1077.6 10555.7  10416.4    10382
read      262.3   241.1    50.7   107.2   122.4   216.7   267.0   295.3   316.1   341.3   374.7   438.1  1492.4  2667.1  4704.4 170574.1   170548
read      192.1   109.2    54.7    93.6   103.7   171.3   210.7   234.6   253.5   275.9   305.5   347.5   441.4   988.5  3386.4 150711.8   150565
read      191.9   106.4    50.7    90.3   100.0   167.6   211.1   238.7   260.3   285.5   317.0   363.2   447.6   958.5  3156.0 137096.2   137144
read      188.3    99.2    50.7    90.9   100.7   166.1   205.5   232.1   253.1   278.1   307.9   347.9   430.9   858.9  2830.5 143619.2   143496
read      189.4   104.4    54.7    91.5   101.3   166.8   206.8   232.2   251.6   274.6   304.4   346.8   436.9  1262.6  2853.6 144719.6   144743
read      190.7   111.9    50.7    86.6    95.7   165.3   211.8   241.5   263.8   288.7   318.8   363.6   457.6   989.3  2595.1 116865.3   116745
read      190.3   111.6    50.7    89.5    99.0   166.6   208.9   236.1   257.9   282.9   313.3   355.3   435.4  1086.4  3281.7 129275.7   129314
read      188.0   116.6    46.9    91.2   101.0   165.7   204.6   230.4   250.0   272.7   301.2   342.2   425.6  1287.6  3283.8 144423.4   144723
read      188.2    96.0    50.7    87.6    96.8   165.2   209.9   238.3   260.2   284.6   313.5   353.9   431.1   732.1  2205.5 117380.9   117379
read      188.3   100.4    50.7    87.7    96.9   165.3   209.6   237.1   258.3   282.3   311.3   351.2   429.8   908.2  2488.5 120021.1   119931
read      187.7   126.8    54.7    89.0    98.6   165.9   206.4   232.4   252.4   275.5   304.7   345.2   427.5   826.4  3881.9 131901.4   132052
read      189.2   111.0    50.7    91.3   101.3   168.1   206.5   230.8   249.5   271.8   300.0   341.2   428.1  1358.7  3306.6 143302.6   143350
read      187.3   114.4    50.7    91.1   100.9   167.7   205.8   229.8   248.3   270.4   297.9   339.1   421.5   893.3  2971.5 143722.6   143518
read      199.5   124.7    59.1   101.9   113.8   183.0   219.0   240.4   256.7   275.5   300.3   337.9   418.0  1049.7  4683.4 173110.0   172981
read      194.3    97.2    54.7    87.6    96.8   174.0   223.0   251.3   271.1   293.3   319.5   357.0   429.1   656.1  2301.2  93847.5    94027
read      197.5   105.3    50.7   100.8   112.5   181.3   217.1   238.2   254.5   273.5   297.6   335.3   417.3  1105.5  3334.8 169938.7   170019
read      203.9   117.4    54.7   105.0   117.7   188.9   224.6   245.5   261.3   279.6   303.4   339.9   424.4  1055.3  3236.5 179083.9   179090
read      203.8   112.9    54.7    92.3   103.2   199.0   239.6   259.9   273.3   288.9   307.5   334.6   390.2   537.3  2519.2  47185.9    47130
read      198.7   169.0    50.7    93.2   108.1   193.8   222.6   237.1   248.6   261.7   277.5   304.3   367.4   847.9 10373.3  19533.5    19439
read      217.6   208.5    54.7    90.4   100.7   175.9   220.8   249.2   270.4   295.3   327.0   379.0  1378.5  2240.6  4367.6 128828.7   128963
read      207.2   102.9    50.7    94.7   109.0   200.6   233.6   252.0   265.1   279.8   298.5   328.8   404.4  1260.8  2803.0  23702.5    23787
read      208.3   103.4    50.7    89.5    99.5   193.8   243.9   269.3   286.8   306.6   331.6   370.5   468.1   846.2  2318.5  61930.0    61848
read      195.0   104.6    54.7    88.3    97.6   173.6   220.6   249.2   269.9   293.2   320.7   360.2   438.0   722.9  3155.1 102015.5   101968
read      193.9   102.2    54.7    88.3    97.6   172.4   218.2   246.5   267.0   290.4   318.2   358.8   441.6   884.3  2457.6 108819.5   108767
read      195.8    97.0    54.7    88.0    97.4   176.1   223.6   251.7   271.4   293.6   319.9   360.8   440.5   680.6  2591.4  97127.2    97139
read      193.1   100.9    54.7    96.2   107.0   175.0   213.0   235.2   252.6   272.6   297.9   339.2   426.0   987.8  3357.0 158656.8   158594
read      191.4   108.0    54.7    91.5   101.4   170.6   210.8   234.9   253.3   275.0   304.8   348.8   439.5  1214.8  3004.3 141222.6   141240
read      220.3   104.3    50.7    91.8   103.9   209.3   254.5   281.0   300.0   321.2   347.8   387.2   460.3   828.9  2396.8  41450.3    41405
read      215.2   118.7    50.7    89.4    99.8   198.0   249.1   277.4   297.5   320.7   350.1   394.8   487.0  1078.8  3537.9  57935.3    57997
read      192.1   108.3    54.7    90.1    99.7   168.0   209.1   235.9   259.2   286.0   318.2   363.9   452.4  1122.9  3026.6 133748.8   133577
read      204.5    99.3    54.7    91.2   101.6   193.5   239.4   264.1   280.7   298.9   320.0   350.5   409.1   581.6  2645.3  53802.1    53832
read      190.9   109.2    50.7    91.0   100.6   167.4   207.4   235.0   257.3   283.2   314.4   359.0   442.6  1034.8  2540.0 139999.2   139832
read      203.5   133.3    50.7   101.3   113.1   182.0   221.5   246.5   265.2   287.1   314.5   355.2   443.8  1429.9  4367.0 170632.8   170515
read      190.7   107.6    50.7    88.3    97.7   165.4   208.8   238.7   261.9   287.9   318.8   362.9   449.7   928.2  3110.9 128785.2   128494
read      187.4    62.8    59.1   100.7   113.4   185.8   211.3   224.9   234.1   246.2   260.9   282.6   324.7   412.2  1956.2  20810.0    20789
read      204.2    97.1    54.7    89.6    99.5   187.6   242.8   269.9   287.2   306.1   328.1   360.3   422.5   611.4  2344.7  63646.2    63647
read      202.4    96.9    54.7    89.0    98.6   185.8   241.0   267.8   285.2   304.1   326.1   358.6   420.8   551.5  2347.4  64807.5    64802
read      204.6    99.2    54.7    90.6   100.6   192.7   244.8   268.8   284.5   301.6   321.1   350.4   405.4   529.8  2454.3  55627.2    55719
read      202.9   111.7    50.7   102.5   114.5   184.3   223.1   246.7   264.5   285.3   311.5   349.9   433.7  1038.0  3482.0 174136.9   174179
read      195.1   108.9    50.7    87.4    96.5   168.8   221.7   253.6   275.6   300.4   329.6   369.7   452.8   746.4  2467.8 106338.3   106356
read      204.9   101.0    50.7   103.9   116.5   187.3   226.1   249.3   266.7   287.2   313.1   352.0   436.3   927.2  3346.5 178797.9   178750
read      196.0   111.0    50.7    87.5    96.6   169.6   222.7   254.4   276.4   301.1   330.4   370.2   454.7   867.1  2521.0 105911.2   105831
read      196.0   147.6    50.7    87.7    96.9   169.3   220.8   251.9   273.7   298.3   327.8   369.4   456.1   840.9  5058.4 110488.3   110667
read      177.2   268.8    54.7    97.0   108.4   163.8   185.8   199.0   208.5   218.8   232.5   253.1   305.7  3921.7 10991.3   8799.4     8803
read      239.2   251.1    54.7    90.0   101.1   223.3   279.7   310.1   330.3   352.2   377.5   414.6   502.9  1828.2 11362.0  45636.4    45662
read      212.4   224.4    50.7    94.7   107.2   206.1   244.5   263.7   276.3   291.5   309.9   336.5   390.4   585.1 11413.2  30879.4    30867
read      215.2    96.7    50.7    90.1   101.4   208.3   256.9   281.8   298.4   316.5   338.3   368.8   427.6   523.4  1938.4  45781.6    45656
read      199.0   131.0    50.7    87.5    96.8   172.5   228.1   260.2   282.0   306.6   336.1   377.8   469.0   626.2  1646.6 100852.2   100938
read      194.4   182.9    50.7    91.0   100.9   169.3   214.3   243.8   266.2   291.5   321.4   365.5   452.8   735.6  2366.5 132257.4   132360
read      209.0   100.8    59.1    91.1   101.2   192.0   243.7   272.8   293.3   315.5   341.6   377.0   449.1   582.8  2501.2  67622.5    67591
read      208.4   165.9    59.1    97.0   109.5   203.1   236.6   254.9   268.2   283.5   302.6   332.1   393.1   684.9 10666.6  33948.6    33910
read      204.7   144.8    59.1    89.1    98.8   183.1   233.3   262.6   283.9   309.1   339.2   380.8   464.9   664.3  4316.5  85697.4    85729
read      189.5    81.0    54.7   103.6   118.6   184.7   209.3   222.5   231.8   243.5   258.9   285.7   342.9   627.0  2641.6  12939.2    12884
read      244.4   183.9    54.7    90.5   102.0   224.2   285.5   322.0   345.8   371.4   400.8   445.0   537.5  1172.1  9659.9  45590.0    45621
read      236.6   115.2    46.9    94.1   107.4   224.2   275.9   307.0   327.5   349.5   375.8   413.9   492.5   793.3  2036.8  37000.6    36938
read      213.0   149.6    54.7    91.3   101.8   200.1   246.4   271.4   289.6   310.7   337.1   376.2   471.5   713.9  9913.1  56922.8    56902
read      199.6   115.6    54.7    88.6    98.2   177.3   225.6   253.6   274.8   300.6   332.3   375.9   469.0   811.8  2971.3 102454.2   102243
read      182.7   120.7    50.7    95.2   109.6   177.2   201.4   214.6   224.0   234.3   249.6   272.3   324.8  1173.8  5411.5  14116.8    14085
read      200.8   113.9    54.7    87.8    97.3   175.4   225.6   254.3   275.4   301.2   334.4   388.2   538.2   752.2  2530.0  94148.5    94103
read      203.6   101.9    54.7    89.8   100.0   191.8   237.7   261.7   277.5   295.9   318.8   352.8   423.9   713.7  2987.0  58207.7    58175
read      189.1   100.3    54.7    92.0   102.0   169.0   208.0   231.7   250.1   272.6   302.0   344.4   430.9   882.9  2528.0 151381.0   151312
read      195.9    94.5    59.1    86.9    96.1   177.0   226.2   253.8   273.3   295.6   322.3   361.2   434.3   608.9  2059.5  83246.7    83333
read      193.8   147.5    54.7    96.2   106.9   173.3   211.0   233.5   251.2   272.6   300.4   341.4   431.2  1325.4  4815.4 165161.0   165153
read      189.2    99.3    54.7    87.5    96.8   166.9   209.5   235.4   256.5   281.7   313.5   358.9   451.6   766.2  2513.5 124110.7   123975
read      204.5   178.1    50.7    94.1   108.0   196.8   229.1   246.3   258.8   273.8   294.4   327.6   400.9   906.3 10666.8  28415.0    28449
read      204.1   115.4    54.7    98.2   114.7   194.9   224.4   240.2   252.1   267.0   286.4   316.7   408.4  1614.2  3406.7  14849.7    14903
read      259.3   287.2    50.7    93.8   107.7   220.7   272.2   301.3   320.9   344.0   374.0   427.5  1267.1  3987.9  7876.5  31141.1    31189
read      247.5   259.4    50.7    90.3   101.9   220.1   277.8   311.0   333.1   357.2   386.2   429.4   601.0  3374.8 10938.3  40441.4    40636
read      206.6   145.7    50.7    87.5    96.9   180.6   233.0   263.6   285.1   310.2   341.6   393.2   526.0  1382.3  5203.9  80540.1    80574
read      198.3   131.5    50.7    97.5   108.9   176.2   213.6   235.8   254.2   276.0   305.2   348.0   465.0  1650.0  3659.3 168655.0   168820
read      184.8    90.0    54.7    92.9   102.8   166.5   201.9   224.4   241.2   263.1   291.2   332.7   414.2   845.7  2273.8 162603.7   162621
read      194.8   101.1    50.7    87.8    97.1   172.4   219.4   247.8   269.3   294.5   325.5   368.5   451.9   691.9  2698.7 101520.0   101621
read      204.1   122.4    46.9    90.1   100.1   192.3   237.4   261.7   277.7   296.2   319.3   354.5   427.9   798.9  4830.9  58707.9    58592
