Timestamp start: 1747262263933
Timestamp end: 1747263164171

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      201.0    94.2    50.7    89.2    99.2   188.5   236.6   261.9   278.5   297.0   318.7   349.0   409.3   557.4  2245.7  64959.2    64802
read      225.2   136.1    54.7    89.1    99.9   209.1   263.2   292.9   313.7   337.9   367.5   409.6   500.7  1207.8  3776.6  55760.3    55719
read      258.6   225.2    54.7   111.6   127.5   217.9   264.1   291.3   311.8   337.1   372.0   440.3  1443.8  2637.8  4859.1 174135.1   174179
read      191.5   106.2    46.9    87.4    96.6   169.3   215.4   243.1   264.1   288.2   316.6   357.6   436.1   738.6  2934.2 106414.5   106356
read      206.7    97.4    54.7   106.1   119.2   191.8   227.4   248.5   264.6   283.6   308.7   346.7   438.0   934.4  2977.6 179007.4   178750
read      193.3   104.5    50.7    87.9    97.2   170.8   217.4   245.5   266.4   290.4   319.1   361.0   446.0   827.4  2800.0 105690.9   105831
read      190.9   110.6    50.7    87.8    97.1   168.9   214.3   241.8   262.5   286.2   315.0   355.3   432.0   782.2  2982.6 110654.9   110667
read      164.8   108.3    50.7    84.4    98.1   160.9   180.6   191.4   199.3   209.3   221.8   242.1   293.2   843.0  5476.1   8771.6     8803
read      217.4   174.1    46.9    88.2    99.3   205.2   252.4   277.3   294.9   314.6   338.4   372.4   453.6  1287.5 10352.5  45544.5    45662
read      201.8   126.8    46.9    91.0   104.1   199.8   234.3   251.9   264.1   277.4   294.3   319.0   370.6   494.5  7002.2  30869.8    30867
read      207.2   118.7    46.9    88.7   100.1   200.7   244.7   266.9   282.0   298.9   319.2   347.5   403.4   502.2  2808.2  45664.9    45656
read      195.7    95.1    50.7    88.1    97.5   172.8   222.3   251.7   272.4   296.1   325.9   369.4   464.7   684.4  1312.6 100875.8   100938
read      193.9   103.9    54.7    91.9   101.9   173.2   214.3   239.6   259.4   282.6   312.1   355.8   443.2   914.8  2848.7 132433.8   132360
read      204.5   100.7    50.7    89.4    99.2   189.7   241.4   267.9   285.8   305.8   330.0   364.5   431.3   568.1  2497.5  67515.7    67591
read      222.0   112.4    50.7    90.7   103.2   214.4   258.0   281.3   297.6   317.3   341.3   376.0   458.4  1011.0  3305.7  34017.0    33910
read      206.9   118.4    50.7    88.9    98.6   181.6   235.4   266.7   288.5   313.7   344.8   394.0   521.1   844.3  3045.0  85818.1    85729
read      186.1    67.7    50.7    90.5   106.9   184.3   208.8   221.9   231.4   243.1   258.0   282.0   334.2   773.4  1783.6  12860.6    12884
read      234.1   211.5    50.7    88.0    99.0   219.0   273.0   302.7   323.3   346.1   373.4   413.5   503.7  1281.1 11378.9  45711.8    45621
read      226.3   114.3    46.9    88.9   100.6   217.5   266.3   292.0   310.0   330.0   354.2   390.3   465.3  1076.6  3276.3  36927.3    36938
read      225.6   197.7    46.9    87.9    98.5   209.0   263.2   292.1   312.5   336.4   365.6   408.7   501.5  1043.0 10854.3  56871.8    56902
read      196.2   139.1    50.7    87.0    96.4   171.2   220.6   249.6   270.0   293.1   321.9   368.1   491.6   967.2  3268.8 102149.2   102243
read      186.1   126.4    50.7    88.1   103.0   178.2   203.9   217.7   228.1   240.0   256.2   282.9   366.3  1652.3  4047.5  14079.8    14085
read      197.4   140.1    50.7    85.6    95.0   171.6   223.1   253.2   274.3   298.2   328.6   373.7   491.7   933.0  3268.9  94016.1    94103
read      219.8   140.8    50.7    85.7    95.9   202.6   256.3   285.5   306.6   330.9   360.7   402.2   505.8  1451.4  2909.2  58289.2    58175
read      230.6   249.3    50.7    94.6   105.9   182.8   228.2   256.4   276.8   301.3   334.1   395.4  1476.3  2732.6  7464.3 151283.2   151312
read      192.9   106.4    50.7    85.4    94.8   174.2   225.6   252.8   271.0   291.3   315.5   349.7   418.1   581.5  2259.1  83326.0    83333
read      198.5   123.7    54.7    98.5   110.2   179.1   216.5   239.1   256.7   277.3   304.1   344.6   447.8  1264.8  5557.3 165070.6   165153
read      193.0   119.9    54.7    88.7    98.3   168.1   211.4   238.5   259.9   284.2   314.2   360.0   471.9  1310.1  3538.8 123979.7   123975
read      227.8   202.4    50.7    89.8   103.3   210.1   249.1   270.1   285.6   303.8   327.5   368.4   736.7  2965.4  7668.3  28431.9    28449
read      195.2    82.3    50.7    88.6   104.5   192.6   221.6   236.5   248.3   261.6   277.5   304.2   362.8   743.9  2298.8  14936.6    14903
read      226.1   151.9    50.7    89.0   102.3   217.9   263.2   286.4   302.5   320.4   344.2   380.5   464.2  1401.6  7335.0  31163.1    31189
read      212.1   131.1    46.9    88.5   100.1   204.3   247.2   269.1   284.1   300.7   320.8   353.5   428.6  1427.8  5174.7  40664.9    40636
read      199.4   141.0    50.7    85.9    95.3   179.1   231.5   259.4   278.1   299.2   324.5   363.3   451.2   919.0  4384.5  80550.3    80574
read      194.9    97.2    54.7    98.1   109.9   177.4   213.7   235.3   252.6   272.7   298.2   338.5   430.6  1040.4  2651.2 168944.3   168820
read      198.1   102.1    54.7    99.0   110.9   180.3   217.5   240.1   257.3   277.5   304.1   343.3   435.5  1050.2  2853.6 162680.5   162621
read      195.6   111.8    50.7    87.4    96.6   170.6   219.7   249.8   271.1   295.1   323.8   366.6   470.1  1098.0  2836.4 101680.3   101621
read      211.0   124.0    50.7    88.3    99.0   201.1   250.5   275.2   292.2   311.3   334.1   366.8   430.7   622.9  3657.1  58617.5    58592
read      185.2    82.0    50.7    93.7   103.3   166.5   203.2   228.0   246.6   268.7   295.3   333.6   407.1   630.6  1108.4 153085.2   153042
read      186.7    88.6    50.7    87.4    96.8   166.4   213.3   241.7   261.4   282.3   306.8   340.2   403.0   522.7  1463.0 111999.8   112238
read      188.4    88.1    54.7    95.8   106.3   169.9   206.2   229.6   247.6   269.0   295.2   334.2   419.9   756.8  1658.6 160378.0   160265
read      197.6    79.1    50.7    88.6    99.3   193.5   236.1   256.2   269.4   284.1   301.3   326.6   374.9   455.7  1005.1  57013.7    57109
read      190.5    84.5    50.7    86.3    95.8   173.9   225.2   251.4   268.4   287.0   308.8   338.9   395.6   479.7   797.6  88445.8    88551
read      159.9    64.7    50.7    86.5    98.8   158.3   176.2   185.9   193.5   201.6   213.8   232.0   274.3   721.4  2140.3   8365.2     8385
read      196.3    75.5    50.7    92.5   105.1   198.1   229.0   244.0   254.0   266.3   280.8   303.1   347.0   444.6  1747.5  33991.3    34088
read      185.3    92.2    50.7    86.7    95.9   164.2   210.8   239.2   259.2   280.4   305.3   339.4   402.9   545.2  2099.4 113390.9   113600
read      183.1    83.2    50.7    88.5    97.9   162.2   203.5   231.1   251.6   274.3   301.2   337.8   404.4   558.9  1176.4 131960.2   131842
read      186.1    88.3    50.7    86.8    96.0   165.3   212.4   240.8   260.8   282.0   307.2   341.3   403.2   519.4  1947.4 111887.9   112066
read      195.7   103.7    50.7    87.1    97.0   184.1   233.4   257.3   272.2   289.0   308.8   336.8   391.6   478.3  2576.5  72529.9    72585
read      183.1    86.0    50.7    89.0    98.4   162.3   202.9   230.3   250.6   273.1   300.0   337.0   404.1   551.8  1598.4 133697.8   133669
read      166.8   101.5    50.7    89.2   103.1   164.3   183.7   194.5   201.9   212.2   224.6   243.8   289.1   670.5  4344.5  11811.5    11820
