Timestamp start: 1747262263933
Timestamp end: 1747263164171

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      175.1   270.0    50.7    86.3    99.8   164.5   183.9   194.5   201.7   211.4   223.3   244.0   307.6  2357.6 11236.1   8161.9     8195
read      233.8   341.4    54.7    97.1   108.9   185.2   229.0   255.7   274.8   297.3   326.6   372.7  1351.9  4097.1  7962.0 158501.1   158594
read      189.5   101.8    54.7    93.0   102.6   168.4   206.7   231.0   250.6   274.2   304.8   348.0   436.5   870.6  2721.5 149808.0   149766
read      181.5   259.1    54.7    87.6   103.6   173.1   193.8   204.9   213.4   223.3   235.4   257.6   311.6  1891.9 11491.6  10388.1    10382
read      253.8   239.7    54.7   105.2   119.1   206.8   255.0   283.2   303.9   328.9   363.6   430.9  1480.1  2613.9  5021.2 170554.8   170548
read      189.0    97.0    50.7    92.2   101.9   168.3   206.8   230.7   250.0   273.7   304.3   347.9   437.9   900.6  2463.0 150611.1   150565
read      189.1   110.5    54.7    89.4    98.8   166.4   207.0   232.1   252.5   277.4   309.5   355.7   447.7  1055.9  3307.4 137021.5   137144
read      188.1   104.4    54.7    90.8   100.3   166.8   206.1   230.6   250.2   273.9   304.8   348.6   434.4   804.8  3350.3 143499.8   143496
read      190.1   118.6    54.7    91.4   101.1   168.1   207.4   231.7   251.6   275.6   307.4   352.7   444.9   914.9  3414.2 144404.7   144743
read      190.7   103.8    54.7    87.8    96.9   168.1   212.2   238.3   259.8   285.6   317.5   363.6   449.8   755.7  2794.5 116674.4   116745
read      189.2   101.6    50.7    88.7    97.9   166.7   209.0   234.1   254.4   279.3   311.0   357.0   448.3   983.7  2360.3 129105.4   129314
read      189.1   100.3    54.7    91.6   101.3   168.2   207.5   231.4   250.5   273.9   304.7   349.1   436.5  1014.2  2523.5 144694.8   144723
read      192.7   112.3    54.7    88.0    97.2   168.7   213.2   239.8   261.0   286.4   318.2   365.6   464.8  1119.2  3170.6 117502.8   117379
read      190.0    99.4    54.7    87.9    97.1   167.8   211.8   237.8   258.4   283.3   314.7   360.7   446.5   782.1  2687.8 120007.8   119931
read      188.1    99.1    54.7    88.9    98.3   166.7   208.2   233.4   252.9   276.4   307.5   352.7   436.2   823.1  2757.5 131901.9   132052
read      189.5   119.4    54.7    90.9   100.6   168.1   207.9   232.2   250.7   273.2   303.2   347.2   438.0  1065.7  3855.0 143390.9   143350
read      189.3   108.7    54.7    90.9   100.6   168.4   208.2   232.5   250.9   273.0   302.8   346.8   441.4   937.9  3374.7 143692.2   143518
read      195.8   102.2    54.7    99.2   110.7   178.3   214.6   235.9   252.8   272.6   298.6   340.3   433.8   988.5  3209.1 173137.8   172981
read      195.7   132.8    50.7    87.2    96.4   174.2   223.2   251.2   270.9   293.9   321.5   363.2   440.9   681.0  3696.5  94002.3    94027
read      194.7   115.1    54.7    98.2   109.5   176.5   213.1   234.9   252.1   271.9   297.5   340.0   434.0  1065.5  3171.5 170079.7   170019
read      201.2   112.2    54.7   102.4   114.4   184.3   220.5   242.0   258.1   276.9   302.8   343.0   437.1  1118.4  3506.2 179058.6   179090
read      218.8   107.1    50.7    89.4   100.5   208.1   254.7   279.9   298.1   320.2   349.6   391.8   471.6   832.5  1555.8  47079.4    47130
read      205.2   227.1    54.7    91.4   106.9   196.7   227.5   243.6   254.8   268.4   285.0   310.2   375.4  2356.0 10890.8  19446.6    19439
read      207.6   181.6    54.7    89.2    98.9   172.1   216.4   243.6   264.3   288.0   317.9   369.5  1254.1  1873.3  3595.3 129035.1   128963
read      203.8    89.8    50.7    94.7   109.2   200.4   232.0   249.0   261.0   274.3   292.1   318.3   382.0   869.3  2748.8  23759.4    23787
read      208.7   135.4    46.9    89.0    99.1   192.4   240.6   265.7   282.6   301.4   325.6   366.8   470.2  1872.4  3757.8  61885.7    61848
read      192.1    94.5    50.7    86.9    96.1   171.3   218.0   246.3   267.3   290.8   317.5   357.7   440.3   662.6  1885.9 102003.2   101968
read      192.0    97.0    54.7    87.5    96.7   170.5   216.0   243.9   265.3   289.7   317.6   358.9   442.8   729.8  2483.8 108787.8   108767
read      192.5    94.2    54.7    86.7    96.1   172.3   219.7   248.0   268.6   291.8   318.4   356.4   431.2   624.5  2158.5  97120.1    97139
read      192.0   106.3    50.7    95.0   105.5   173.5   211.1   233.5   251.1   271.9   298.1   337.8   428.1   984.9  3190.8 158500.2   158594
read      192.6   122.0    54.7    90.7   100.6   170.0   209.9   234.2   253.4   276.0   305.2   345.4   451.7  1571.4  3418.3 141283.4   141240
read      215.7   105.7    50.7    90.0   102.2   207.0   251.7   275.2   291.9   310.9   334.6   369.4   446.8   795.6  2663.3  41500.8    41405
read      225.7   135.2    50.7    88.5    99.1   208.2   263.5   292.7   313.4   337.8   367.9   413.6   512.3  1691.4  3277.6  57899.5    57997
read      190.8   133.0    54.7    89.4    99.1   168.8   209.6   234.6   254.5   278.2   308.2   350.1   438.4  1237.2  3097.8 133638.4   133577
read      201.0    85.8    50.7    89.8   100.4   193.4   236.7   259.3   274.1   291.2   311.4   339.9   398.4   531.4  1804.5  54067.1    53832
read      190.4   118.1    54.7    90.4   100.3   170.0   209.5   233.4   252.4   274.8   303.9   345.3   432.5  1015.9  3983.4 139773.1   139832
read      210.4   120.0    50.7   102.7   115.7   193.0   231.2   253.5   270.2   290.4   316.6   360.3   468.1  1592.6  3612.7 170495.2   170515
read      189.6   105.3    54.7    89.2    98.7   168.8   209.9   234.7   254.5   278.2   308.2   350.1   432.9   916.3  3082.8 128594.4   128494
read      198.9   190.4    46.9    91.5   106.6   193.4   223.5   239.2   250.9   264.6   281.4   307.8   363.4   839.7 11192.6  20844.8    20789
read      205.9   106.3    50.7    88.3    98.3   191.0   240.7   266.9   284.9   305.3   330.3   369.1   461.8   813.1  2519.1  63682.8    63647
